code|name|Group|Type|abu|air|besi|beta-karoten|energi|fosfor|kalium|kalsium|karbohidrat|karoten total|lemak|natrium|niasin|protein|retinol|riboflavin|seng|serat|tembaga|thiamin|vitamin c
CP028|Enting-enting wijen|Grains and Legumes|Processed/Products|3.0 g|3.7 g|10.9 mg|0 mcg|565|502 mg|0 mg|251 mg|36.8 g|240 mcg|38.4 g|0 mg|0 mg|18.2 g|0 mcg|0 mg|0 mg|1.9 g|0 mg|0.92 mg|0 mg
CP029|Geplak|Grains and Legumes|Processed/Products|1.0 g|29.6 g|2.1 mg|0 mcg|350|43 mg|0 mg|151 mg|53.6 g|120 mcg|14.4 g|0 mg|0.8 mg|1.4 g|0 mcg|0.02 mg|0 mg|1.8 g|0 mg|0.12 mg|0 mg
CP030|Geplak jahe|Grains and Legumes|Processed/Products|2.5 g|12.4 g|6.6 mg|0 mcg|462|161 mg|0 mg|212 mg|57.7 g|272 mcg|24.4 g|0 mg|0.1 mg|3.1 g|0 mcg|0.00 mg|0 mg|3.3 g|0 mg|0.12 mg|0 mg
CP031|Kacang atom|Grains and Legumes|Processed/Products|2.2 g|3.1 g|3.0 mg|0 mcg|533|423 mg|0 mg|87 mg|28.8 g|0 mcg|38.1 g|0 mg|0 mg|27.8 g|0 mcg|0 mg|0 mg|2.5 g|0 mg|0.06 mg|0 mg
CP032|Kacang goyang|Grains and Legumes|Processed/Products|1.5 g|8.3 g|0.7 mg|0 mcg|516|230 mg|365.0 mg|34 mg|44.4 g|0 mcg|31.1 g|2 mg|0 mg|14.7 g|0 mcg|0 mg|1.7 mg|0 g|0.60 mg|0 mg|0 mg
CP033|Kacang negara|Grains and Legumes|Processed/Products|0.9 g|3.1 g|10.3 mg|0 mcg|480|404 mg|385.0 mg|34 mg|58.5 g|0 mcg|19.1 g|1010 mg|2.6 mg|18.4 g|0 mcg|0.05 mg|7.1 mg|11.7 g|2.50 mg|0.63 mg|0 mg
CP034|Kacang sukro|Grains and Legumes|Processed/Products|2.7 g|4.7 g|2.5 mg|0 mcg|484|194 mg|0 mg|49 mg|57.7 g|0 mcg|26.1 g|0 mg|0 mg|8.8 g|0 mcg|0 mg|0 mg|1.8 g|0 mg|0.06 mg|0 mg
CP035|Kacang tanah sari|Grains and Legumes|Processed/Products|2.6 g|2.1 g|3.1 mg|0 mcg|561|324 mg|0 mg|50 mg|26.0 g|0 mcg|43.8 g|0 mg|0 mg|25.5 g|0 mcg|0 mg|0 mg|2.2 g|0 mg|0.08 mg|0 mg
CP036|Selai kacang|Grains and Legumes|Processed/Products|0.1 g|3.0 g|2.0 mg|0 mcg|590|360 mg|492.4 mg|60 mg|20.9 g|0 mcg|49.0 g|355 mg|16.2 mg|27.0 g|0 mcg|0.20 mg|2.7 mg|1.6 g|0.57 mg|0.30 mg|0 mg
CP037|Kembang tahu|Grains and Legumes|Processed/Products|3.2 g|10.8 g|2.1 mg|0 mcg|380|781 mg|455.3 mg|378 mg|23.3 g|0 mcg|13.8 g|55 mg|0.7 mg|48.9 g|0 mcg|0.08 mg|4.2 mg|0.0 g|0.68 mg|0.15 mg|0 mg
CP038|Kembang tahu kukus|Grains and Legumes|Processed/Products|0.8 g|79.8 g|0 mg|0 mcg|90|0 mg|0 mg|85 mg|4.7 g|0 mcg|4.0 g|0 mg|0 mg|10.7 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
CP039|Keripik oncom|Grains and Legumes|Processed/Products|2.2 g|3.0 g|27.0 mg|0 mcg|598|153 mg|0 mg|85 mg|42.6 g|1608 mcg|43.8 g|0 mg|0 mg|8.3 g|0 mcg|0 mg|0 mg|3.3 g|0 mg|1.13 mg|0 mg
CP040|Keripik tempe|Grains and Legumes|Processed/Products|2.3 g|3.3 g|6.9 mg|0 mcg|581|116 mg|0 mg|237 mg|41.7 g|320 mcg|40.6 g|0 mg|0 mg|12.1 g|0 mcg|0 mg|0 mg|2.2 g|0 mg|0.35 mg|0 mg
CP041|Keripik tempe merek abadi ukuran besar|Grains and Legumes|Processed/Products|2.8 g|4.5 g|5.4 mg|0 mcg|556|215 mg|0 mg|112 mg|39.8 g|0 mcg|37.1 g|0 mg|0 mg|15.8 g|0 mcg|0 mg|0 mg|3.5 g|0 mg|0.63 mg|0 mg
CP042|Keripik tempe merek abadi original|Grains and Legumes|Processed/Products|2.7 g|3.2 g|5.2 mg|0 mcg|542|529 mg|0 mg|175 mg|11.6 g|50 mcg|42.4 g|0 mg|0 mg|40.3 g|0 mcg|0 mg|0 mg|2.2 g|0 mg|0.10 mg|0 mg
CP043|Keripik tempe merek abadi ukuran sedang|Grains and Legumes|Processed/Products|3.1 g|4.4 g|8.4 mg|0 mcg|510|211 mg|0 mg|122 mg|52.4 g|0 mcg|27.9 g|0 mg|0 mg|12.3 g|0 mcg|0 mg|0 mg|3.6 g|0 mg|0.52 mg|0 mg
CP044|Keripik tempe merek abadi dengan telur|Grains and Legumes|Processed/Products|2.9 g|4.5 g|5.4 mg|0 mcg|529|222 mg|0 mg|124 mg|40.2 g|0 mcg|31.7 g|0 mg|0 mg|20.8 g|0 mcg|0 mg|0 mg|3.0 g|0 mg|0.86 mg|0 mg
CP045|Keripik tempe merek abadi kualitas utama|Grains and Legumes|Processed/Products|2.6 g|4.8 g|3.2 mg|0 mcg|540|184 mg|0 mg|92 mg|42.0 g|1080 mcg|33.9 g|0 mg|0 mg|16.7 g|0 mcg|0 mg|0 mg|2.2 g|0 mg|0.38 mg|0 mg
CP046|Kwaci (biji bunga matahari kering)|Grains and Legumes|Processed/Products|3.7 g|9.9 g|6.2 mg|0 mcg|515|312 mg|448.6 mg|54 mg|13.8 g|0 mcg|42.1 g|124 mg|0.3 mg|30.6 g|0 mcg|0.19 mg|9.7 mg|13.6 g|0.65 mg|0.02 mg|0 mg
CP047|Emping melinjo tebal goreng manis|Grains and Legumes|Processed/Products|2.3 g|5.6 g|0 mg|0 mcg|439|225 mg|0 mg|66 mg|65.7 g|0 mcg|16.4 g|0 mg|0 mg|10.0 g|0 mcg|0 mg|0 mg|0 g|0 mg|0.10 mg|0 mg
CP048|Emping melinjo tebal goreng gurih|Grains and Legumes|Processed/Products|1.6 g|8.0 g|0 mg|0 mcg|431|0 mg|0 mg|77 mg|63.0 g|0 mcg|16.2 g|0 mg|0 mg|11.1 g|0 mcg|0 mg|0 mg|0 g|0 mg|0.08 mg|0 mg
CP049|Emping melinjo tipis goreng|Grains and Legumes|Processed/Products|1.5 g|3.3 g|0 mg|0 mcg|485|218 mg|0 mg|85 mg|59.1 g|0 mcg|24.5 g|0 mg|0 mg|11.5 g|0 mcg|0 mg|0 mg|0 g|0 mg|0.11 mg|0 mg
CP050|Tahu bulan|Grains and Legumes|Processed/Products|0.8 g|79.9 g|2.5 mg|0 mcg|128|92 mg|0 mg|205 mg|1.3 g|5300 mcg|10.0 g|393 mg|0 mg|8.0 g|131 mcg|0 mg|0 mg|0.2 g|0 mg|0.46 mg|0 mg
CP051|Oncom|Grains and Legumes|Processed/Products|1.4 g|57.0 g|27.0 mg|0 mcg|187|115 mg|0 mg|96 mg|22.6 g|0 mcg|6.0 g|0 mg|1.6 mg|13.0 g|0 mcg|0.00 mg|0 mg|0 g|0 mg|0.09 mg|0 mg
CP052|Oncom ampas kacang hijau|Grains and Legumes|Processed/Products|1.7 g|13.4 g|10.9 mg|0 mcg|376|110 mg|0 mg|199 mg|65.7 g|0 mcg|6.0 g|0 mg|0 mg|14.9 g|0 mcg|0 mg|0 mg|12.3 g|0 mg|0.03 mg|0 mg
CP053|Oncom kacang hijau + singkong|Grains and Legumes|Processed/Products|1.3 g|16.5 g|7.8 mg|0 mcg|351|113 mg|0 mg|164 mg|65.9 g|0 mcg|5.3 g|0 mg|0 mg|11.0 g|0 mcg|0 mg|0 mg|9.0 g|0 mg|0.01 mg|0 mg
CP054|Pepes oncom kacang|Grains and Legumes|Processed/Products|4.8 g|65.0 g|34.4 mg|0 mcg|132|355 mg|0 mg|133 mg|13.7 g|10 mcg|3.8 g|0 mg|0.7 mg|12.7 g|0 mcg|0.20 mg|0 mg|3.1 g|0 mg|0.08 mg|0 mg
CP055|Rempeyek kacang tanah|Grains and Legumes|Processed/Products|1.8 g|3.9 g|2.6 mg|0 mcg|513|202 mg|0 mg|65 mg|44.3 g|0 mcg|32.5 g|0 mg|0 mg|17.5 g|0 mcg|0 mg|0 mg|1.7 g|0 mg|0.10 mg|0 mg
CP056|Rempeyek kacang tunggak|Grains and Legumes|Processed/Products|2.8 g|6.1 g|4.6 mg|0 mcg|451|221 mg|0 mg|156 mg|59.7 g|0 mcg|20.2 g|0 mg|0 mg|11.2 g|0 mcg|0 mg|0 mg|1.8 g|0 mg|0.02 mg|0 mg
CP057|Rempeyek kacang uci|Grains and Legumes|Processed/Products|3.4 g|4.0 g|6.7 mg|0 mcg|497|89 mg|0 mg|166 mg|50.8 g|0 mcg|27.6 g|0 mg|0 mg|17.0 g|0 mcg|0 mg|0 mg|2.4 g|0 mg|0.05 mg|0 mg
CP058|Sayur lebui|Grains and Legumes|Processed/Products|0.9 g|83.9 g|1.0 mg|14 mcg|64|2 mg|146.0 mg|21 mg|12.5 g|0 mcg|0.6 g|124 mg|0.1 mg|2.1 g|0 mcg|0.00 mg|0.7 mg|5.7 g|0.20 mg|0 mg|0 mg
CP059|Susu kedelai bubuk|Grains and Legumes|Processed/Products|4.0 g|3.0 g|4.0 mg|0 mcg|344|500 mg|2572.3 mg|450 mg|43.0 g|2000 mcg|20.0 g|56 mg|2.0 mg|30.0 g|0 mcg|0.16 mg|4.0 mg|6.2 g|2.99 mg|0.70 mg|10 mg
CP060|Susu kedelai|Grains and Legumes|Processed/Products|2.0 g|87.0 g|0.7 mg|0 mcg|41|45 mg|287.9 mg|50 mg|5.0 g|200 mcg|2.5 g|128 mg|0.7 mg|3.5 g|0 mcg|0.05 mg|1.0 mg|0.2 g|0.12 mg|0.08 mg|2 mg
CP061|Tahu mentah|Grains and Legumes|Processed/Products|1.4 g|82.2 g|3.4 mg|118 mcg|80|183 mg|50.6 mg|223 mg|0.8 g|0 mcg|4.7 g|2 mg|0.1 mg|10.9 g|0 mcg|0.08 mg|0.8 mg|0.1 g|0.19 mg|0.01 mg|0 mg
CP062|Tahu goreng|Grains and Legumes|Processed/Products|2.0 g|77.3 g|4.1 mg|0 mcg|115|200 mg|68.2 mg|229 mg|2.5 g|0 mcg|8.5 g|7 mg|0.0 mg|9.7 g|0 mcg|0.24 mg|1.3 mg|0.1 g|0.09 mg|0.01 mg|0 mg
CP063|Tahu telur|Grains and Legumes|Processed/Products|1.1 g|41.8 g|4.9 mg|0 mcg|328|238 mg|0 mg|492 mg|24.6 g|1860 mcg|19.9 g|755 mg|0 mg|12.6 g|73 mcg|0 mg|0 mg|0.4 g|0 mg|0.42 mg|0 mg
CP064|Takwa|Grains and Legumes|Processed/Products|1.6 g|72.2 g|8.5 mg|0 mcg|148|214 mg|79.0 mg|140 mg|4.0 g|920 mcg|8.5 g|3 mg|0.8 mg|13.8 g|0 mcg|0.10 mg|1.3 mg|0.0 g|0.30 mg|0.20 mg|0 mg
CP065|Tauco|Grains and Legumes|Processed/Products|6.9 g|54.0 g|6.0 mg|0 mcg|184|463 mg|233.0 mg|72 mg|22.2 g|664 mcg|5.5 g|1766 mg|0.8 mg|11.4 g|0 mcg|0.20 mg|1.0 mg|1.9 g|0.39 mg|0.32 mg|0 mg
CP066|Tauco merek beruang (kue)|Grains and Legumes|Processed/Products|8.4 g|11.4 g|6.2 mg|0 mcg|347|106 mg|0 mg|63 mg|67.6 g|936 mcg|5.2 g|0 mg|0 mg|7.4 g|0 mcg|0 mg|0 mg|3.2 g|0 mg|0.35 mg|0 mg
CP067|Tauco merek DAS (kue)|Grains and Legumes|Processed/Products|7.6 g|10.2 g|4.5 mg|0 mcg|358|94 mg|0 mg|94 mg|70.4 g|504 mcg|4.3 g|0 mg|0 mg|7.5 g|0 mcg|0 mg|0 mg|3.1 g|0 mg|0.29 mg|0 mg
CP068|Tauco merek meong|Grains and Legumes|Processed/Products|6.7 g|59.7 g|10.1 mg|0 mcg|159|84 mg|204.1 mg|183 mg|21.3 g|472 mcg|4.9 g|1547 mg|0.7 mg|7.4 g|0 mcg|0.18 mg|0.9 mg|1.6 g|0.34 mg|0.46 mg|0 mg
CP069|Tauji merek singa|Grains and Legumes|Processed/Products|6.2 g|30.4 g|3.0 mg|0 mcg|277|106 mg|0 mg|68 mg|49.6 g|936 mcg|4.7 g|0 mg|0 mg|9.1 g|0 mcg|0 mg|0 mg|1.2 g|0 mg|0.15 mg|0 mg
CP070|Tempe bongkrek|Grains and Legumes|Processed/Products|146.3 g|72.5 g|2.6 mg|0 mcg|119|100 mg|0 mg|27 mg|18.3 g|0 mcg|3.5 g|0 mg|0 mg|4.4 g|0 mcg|0 mg|0 mg|0 g|0 mg|0.08 mg|0 mg
CP071|Tempe gembus P3G|Grains and Legumes|Processed/Products|0.8 g|81.9 g|1.5 mg|0 mcg|73|80 mg|0 mg|204 mg|10.3 g|22 mcg|1.3 g|0 mg|0.9 mg|5.7 g|0 mcg|0.10 mg|0 mg|4.2 g|0 mg|0.09 mg|0 mg
CP072|Tempe gembus yogya|Grains and Legumes|Processed/Products|1.1 g|80.7 g|16.5 mg|0 mcg|76|142 mg|0 mg|76 mg|10.6 g|0 mcg|0.7 g|0 mg|0.1 mg|6.8 g|0 mcg|0.01 mg|0 mg|5.3 g|0 mg|0.79 mg|0 mg
CP073|Tempe koro benguk|Grains and Legumes|Processed/Products|1.2 g|64.0 g|2.6 mg|0 mcg|139|182 mg|0 mg|68 mg|21.9 g|20 mcg|0.8 g|0 mg|0 mg|12.5 g|0 mcg|0 mg|0 mg|1.8 g|0 mg|0.10 mg|0 mg
CP074|Tempe kecipir|Grains and Legumes|Processed/Products|1.4 g|58.2 g|2.2 mg|0 mcg|212|160 mg|0 mg|186 mg|12.9 g|0 mcg|10.0 g|0 mg|0 mg|17.5 g|0 mcg|0 mg|0 mg|2.9 g|0 mg|0.20 mg|0 mg
CP075|Tempe kedelai + jagung|Grains and Legumes|Processed/Products|0.6 g|70.6 g|6.8 mg|0 mcg|143|156 mg|0 mg|155 mg|11.4 g|1320 mcg|5.5 g|0 mg|1.2 mg|12.0 g|0 mcg|0.15 mg|0 mg|1.9 g|0 mg|0.33 mg|0 mg
CP076|Tempe kedelai murni goreng|Grains and Legumes|Processed/Products|1.8 g|36.8 g|4.9 mg|0 mcg|350|296 mg|626.7 mg|202 mg|10.4 g|78 mcg|26.6 g|22 mg|3.3 mg|24.5 g|0 mcg|0.60 mg|2.5 mg|4.2 g|0.80 mg|0.24 mg|0 mg
CP077|Tempe kedelai murni mentah|Grains and Legumes|Processed/Products|1.6 g|55.3 g|4.0 mg|0 mcg|201|326 mg|234.0 mg|155 mg|13.5 g|0 mcg|8.8 g|9 mg|4.9 mg|20.8 g|0 mcg|0.59 mg|1.7 mg|1.4 g|0.57 mg|0.19 mg|0 mg
CP078|Tempe koro benguk|Grains and Legumes|Processed/Products|1.3 g|64.0 g|2.6 mg|0 mcg|141|15 mg|0 mg|42 mg|23.2 g|0 mcg|1.3 g|0 mg|0 mg|10.2 g|0 mcg|0 mg|0 mg|0 g|0 mg|0.09 mg|0 mg
CP079|Tempe lamtoro|Grains and Legumes|Processed/Products|0.7 g|66.8 g|0.6 mg|0 mcg|128|108 mg|0 mg|203 mg|21.3 g|121 mcg|0.5 g|0 mg|0 mg|10.7 g|0 mcg|0 mg|0 mg|7.1 g|0 mg|0.17 mg|2 mg
CP080|Tempe lamtoro varian gung dengan kulit|Grains and Legumes|Processed/Products|1.3 g|65.1 g|6.8 mg|0 mcg|146|41 mg|0 mg|128 mg|19.6 g|1370 mcg|2.3 g|0 mg|1.4 mg|11.7 g|0 mcg|0 mg|0 mg|7.6 g|0 mg|0.19 mg|0 mg
CP081|Tempe lamtoro varian gung tanpa kulit|Grains and Legumes|Processed/Products|1.1 g|67.1 g|12.4 mg|0 mcg|131|154 mg|0 mg|95 mg|13.0 g|5900 mcg|0.8 g|0 mg|2.6 mg|18.0 g|0 mcg|0.02 mg|0 mg|1.3 g|0 mg|0.20 mg|0 mg
CP082|Tempe pasaran|Grains and Legumes|Processed/Products|0.9 g|68.3 g|1.5 mg|0 mcg|150|202 mg|165.9 mg|517 mg|9.1 g|0 mcg|7.7 g|7 mg|3.6 mg|14.0 g|0 mcg|0.44 mg|1.2 mg|1.4 g|0.40 mg|0.17 mg|0 mg
CP083|Tempe pasaran goreng|Grains and Legumes|Processed/Products|1.3 g|42.9 g|3.0 mg|0 mcg|336|350 mg|566.2 mg|156 mg|7.8 g|10 mcg|28.0 g|20 mg|3.0 mg|20.0 g|0 mcg|0.50 mg|2.2 mg|3.4 g|0.80 mg|0.10 mg|0 mg
CP084|Tepung hunkwe|Grains and Legumes|Processed/Products|1.0 g|10.0 g|1.0 mg|0 mcg|364|100 mg|1232.9 mg|50 mg|83.5 g|0 mcg|1.0 g|15 mg|2.2 mg|4.5 g|0 mcg|0.23 mg|2.7 mg|16.1 g|0.93 mg|0.00 mg|0 mg
CP085|Tepung jalejo|Grains and Legumes|Processed/Products|2.3 g|10.0 g|2.0 mg|1000 mcg|388|663 mg|712.0 mg|101 mg|61.2 g|0 mcg|7.5 g|3 mg|1.6 mg|19.0 g|0 mcg|0.70 mg|1.9 mg|5.8 g|0.60 mg|0.02 mg|9 mg
CP086|Tepung kedelai|Grains and Legumes|Processed/Products|4.0 g|9.0 g|8.4 mg|0 mcg|347|544 mg|2522.6 mg|195 mg|29.9 g|140 mcg|20.6 g|52 mg|2.1 mg|35.9 g|0 mcg|0.32 mg|2.6 mg|5.8 g|4303.45 mg|0.77 mg|0 mg
CR001|Kacang arab kering|Grains and Legumes|Raw|3.0 g|11.6 g|4.7 mg|40 mcg|330|388 mg|874.3 mg|57 mg|60.2 g|140 mcg|1.4 g|24 mg|1.5 mg|23.8 g|0 mcg|0.21 mg|3.4 mg|17.4 g|0.85 mg|0.77 mg|2 mg
CR002|Koro benguk kering|Grains and Legumes|Raw|3.5 g|11.6 g|6.8 mg|0 mcg|341|521 mg|1768.0 mg|178 mg|51.3 g|87 mcg|3.2 g|13 mg|2.8 mg|30.4 g|0 mcg|0.33 mg|3.1 mg|4.5 g|0.82 mg|0.23 mg|0 mg
CR003|Kecipir kering|Grains and Legumes|Raw|4.2 g|10.4 g|6.8 mg|0 mcg|400|182 mg|955.0 mg|468 mg|34.1 g|0 mcg|16.9 g|37 mg|3.0 mg|34.4 g|0 mcg|0.44 mg|2.0 mg|10.7 g|2.82 mg|0.30 mg|0 mg
CR004|Biji jarak segar|Grains and Legumes|Raw|0.4 g|72.1 g|1.7 mg|0 mcg|118|50 mg|40.0 mg|50 mg|21.6 g|0 mcg|1.5 g|10 mg|0 mg|4.4 g|0 mcg|0 mg|1.0 mg|0 g|0.30 mg|0.43 mg|0 mg
CR005|Kacang bogor kering|Grains and Legumes|Raw|3.0 g|10.0 g|4.2 mg|0 mcg|370|264 mg|868.8 mg|85 mg|65.0 g|0 mcg|6.0 g|44 mg|6.2 mg|16.0 g|0 mcg|0.26 mg|2.7 mg|26.3 g|1.48 mg|0.18 mg|0 mg
CR006|Kacang bogor segar|Grains and Legumes|Raw|1.0 g|60.8 g|5.3 mg|29 mcg|165|126 mg|537.0 mg|96 mg|27.4 g|0 mcg|3.1 g|6 mg|2.7 mg|7.7 g|0 mcg|0.35 mg|1.2 mg|2.5 g|0.41 mg|0.32 mg|0 mg
CR007|Biji kacang uci kering|Grains and Legumes|Raw|2.0 g|14.0 g|5.0 mg|0 mcg|331|400 mg|1322.4 mg|80 mg|58.0 g|0 mcg|1.0 g|12 mg|2.3 mg|25.0 g|0 mcg|0.75 mg|2.7 mg|23.6 g|0.68 mg|0.30 mg|0 mg
CR008|Kacang polong segar|Grains and Legumes|Raw|1.0 g|67.6 g|2.3 mg|212 mcg|129|130 mg|310.0 mg|40 mg|18.3 g|0 mcg|0.7 g|4 mg|2.7 mg|12.4 g|0 mcg|0.05 mg|2.1 mg|28.6 g|0.30 mg|0.29 mg|0 mg
CR009|Kacang galing segar|Grains and Legumes|Raw|3.8 g|12.0 g|5.0 mg|0 mcg|336|400 mg|0 mg|80 mg|59.5 g|0 mcg|1.7 g|0 mg|0 mg|23.1 g|0 mcg|0 mg|0 mg|0 g|0 mg|0.60 mg|0 mg
CR010|Biji kacang gude kering|Grains and Legumes|Raw|4.2 g|16.1 g|4.7 mg|19 mcg|316|445 mg|1306.2 mg|146 mg|58.0 g|0 mcg|1.0 g|16 mg|2.4 mg|20.7 g|0 mcg|0.19 mg|2.7 mg|4.6 g|0.99 mg|0.30 mg|0 mg
CR011|Biji kacang gude segar|Grains and Legumes|Raw|2.3 g|70.3 g|1.5 mg|0 mcg|114|122 mg|480.5 mg|3 mg|20.8 g|70 mcg|0.6 g|4 mg|0.8 mg|7.0 g|0 mcg|0.07 mg|0.9 mg|4.4 g|0.12 mg|0.37 mg|43 mg
CR012|Kacang hijau varian bakti kering|Grains and Legumes|Raw|3.1 g|7.4 g|4.9 mg|171 mcg|350|315 mg|893.9 mg|94 mg|70.7 g|235 mcg|1.8 g|46 mg|2.6 mg|17.1 g|0 mcg|0.27 mg|3.1 mg|5.7 g|1.52 mg|0.40 mg|11 mg
CR013|Kacang hijau varian siwalik kering|Grains and Legumes|Raw|3.7 g|8.8 g|4.9 mg|168 mcg|339|136 mg|880.4 mg|122 mg|64.6 g|321 mcg|2.1 g|45 mg|2.6 mg|20.8 g|0 mcg|0.27 mg|3.1 mg|7.4 g|1.50 mg|0.45 mg|0 mg
CR014|Kacang hijau kering|Grains and Legumes|Raw|3.3 g|15.5 g|7.5 mg|156 mcg|323|319 mg|815.7 mg|223 mg|56.8 g|223 mcg|1.5 g|42 mg|1.5 mg|22.9 g|0 mcg|0.15 mg|2.9 mg|7.5 g|1.90 mg|0.46 mg|10 mg
CR015|Kedelai hitam kering|Grains and Legumes|Raw|3.1 g|12.5 g|4.7 mg|28 mcg|346|300 mg|0.0 mg|70 mg|66.1 g|0 mcg|1.7 g|3 mg|2.1 mg|16.6 g|0 mcg|0.10 mg|3.5 mg|22.8 g|0.90 mg|0.16 mg|0 mg
CR016|Kapri segar|Grains and Legumes|Raw|0.9 g|74.3 g|1.9 mg|0 mcg|98|122 mg|296.6 mg|22 mg|17.7 g|680 mcg|0.4 g|6 mg|2.5 mg|6.7 g|0 mcg|0.16 mg|1.5 mg|6.2 g|0.21 mg|0.34 mg|26 mg
CR017|Kedelai kering|Grains and Legumes|Raw|5.5 g|12.7 g|10.0 mg|237 mcg|381|682 mg|713.4 mg|222 mg|24.9 g|31 mcg|16.7 g|210 mg|1.2 mg|40.4 g|0 mcg|0.12 mg|3.9 mg|3.2 g|1.58 mg|0.52 mg|0 mg
CR018|Kedelai segar|Grains and Legumes|Raw|4.1 g|20.0 g|6.9 mg|0 mcg|286|506 mg|870.9 mg|196 mg|30.1 g|95 mcg|15.6 g|28 mg|1.8 mg|30.2 g|0 mcg|0.26 mg|3.6 mg|2.9 g|1.24 mg|0.93 mg|0 mg
CR019|Kacang kincai kering|Grains and Legumes|Raw|4.9 g|4.2 g|0 mg|0 mcg|444|0 mg|0 mg|26 mg|55.0 g|0 mcg|16.0 g|0 mg|1.9 mg|19.9 g|0 mcg|0.10 mg|0 mg|0 g|0 mg|0.10 mg|0 mg
CR020|Koro segar|Grains and Legumes|Raw|2.6 g|20.9 g|4.0 mg|0 mcg|327|282 mg|1137.0 mg|74 mg|55.8 g|0 mcg|4.3 g|22 mg|0.1 mg|16.4 g|0 mcg|0.12 mg|2.1 mg|0.5 g|0.90 mg|0.99 mg|0 mg
CR021|Lentil kuning kering|Grains and Legumes|Raw|2.8 g|11.7 g|5.8 mg|58 mcg|355|220 mg|0.0 mg|140 mg|66.0 g|0 mcg|2.5 g|1 mg|1.9 mg|17.0 g|0 mcg|0.08 mg|3.2 mg|15.1 g|0.70 mg|0.47 mg|0 mg
CR022|Kacang gude kering|Grains and Legumes|Raw|3.6 g|11.8 g|3.4 mg|64 mcg|346|368 mg|1225.0 mg|144 mg|66.6 g|0 mcg|1.5 g|17 mg|0.0 mg|16.5 g|0 mcg|0.20 mg|3.3 mg|37.3 g|1.50 mg|0.62 mg|0 mg
CR023|Kacang mentega kering|Grains and Legumes|Raw|2.9 g|13.7 g|6.7 mg|0 mcg|344|300 mg|10.0 mg|110 mg|64.6 g|0 mcg|2.1 g|1 mg|1.2 mg|16.7 g|0 mcg|0.07 mg|2.5 mg|13.0 g|0.70 mg|0.21 mg|0 mg
CR024|Kacang merah (Banda) kering|Grains and Legumes|Raw|3.2 g|13.0 g|6.8 mg|137 mcg|350|242 mg|1127.0 mg|84 mg|66.9 g|0 mcg|3.0 g|19 mg|0.3 mg|13.9 g|0 mcg|0.76 mg|42.0 mg|26.3 g|0.00 mg|0.15 mg|0 mg
CR025|Kacang merah tua kering|Grains and Legumes|Raw|6.2 g|12.3 g|6.4 mg|0 mcg|280|335 mg|1348.5 mg|209 mg|63.2 g|0 mcg|1.6 g|19 mg|2.0 mg|16.7 g|0 mcg|0.08 mg|2.8 mg|4.6 g|0.69 mg|0.10 mg|6 mg
CR026|Kacang merah kering|Grains and Legumes|Raw|2.9 g|17.7 g|10.3 mg|129 mcg|314|429 mg|1265.5 mg|502 mg|56.2 g|0 mcg|1.1 g|11 mg|2.2 mg|22.1 g|0 mcg|0.72 mg|2.6 mg|4.0 g|0.65 mg|0.40 mg|0 mg
CR027|Kacang merah segar|Grains and Legumes|Raw|1.7 g|57.2 g|3.7 mg|0 mcg|171|134 mg|360.7 mg|293 mg|28.0 g|10 mcg|2.2 g|7 mg|1.1 mg|11.0 g|0 mcg|0.15 mg|1.4 mg|2.1 g|0.34 mg|0.15 mg|0 mg
CR028|Kacang mete segar|Grains and Legumes|Raw|2.0 g|4.6 g|3.8 mg|5 mcg|616|521 mg|692.0 mg|26 mg|28.7 g|0 mcg|48.4 g|26 mg|0.0 mg|16.3 g|0 mcg|0.03 mg|4.1 mg|0.9 g|4.70 mg|0.64 mg|0 mg
CR029|Biji kacang panjang kering|Grains and Legumes|Raw|0.4 g|12.2 g|6.9 mg|2182 mcg|357|437 mg|1109.4 mg|163 mg|68.6 g|0 mcg|1.5 g|16 mg|7.1 mg|17.3 g|0 mcg|0.98 mg|2.8 mg|10.6 g|0.35 mg|0.57 mg|2 mg
CR030|Biji kacang tanah|Grains and Legumes|Raw|2.2 g|1.2 g|4.1 mg|0 mcg|560|366 mg|509.8 mg|107 mg|24.1 g|0 mcg|43.0 g|34 mg|15.5 mg|29.5 g|0 mcg|0.30 mg|2.1 mg|2.9 g|1.69 mg|0.31 mg|0 mg
CR031|Biji kacang tanah tanpa kulit ari|Grains and Legumes|Raw|2.7 g|2.6 g|1.9 mg|0 mcg|559|393 mg|202.3 mg|74 mg|23.6 g|0 mcg|44.2 g|33 mg|8.0 mg|26.9 g|0 mcg|29.47 mg|1.7 mg|2.6 g|520.40 mg|0.30 mg|0 mg
CR032|Kacang tanah kering|Grains and Legumes|Raw|2.4 g|9.6 g|5.7 mg|0 mcg|525|456 mg|466.5 mg|316 mg|17.4 g|30 mcg|42.7 g|31 mg|1.4 mg|27.9 g|0 mcg|0.27 mg|1.9 mg|2.4 g|1.55 mg|0.44 mg|0 mg
CR033|Kacang tunggak kering|Grains and Legumes|Raw|3.6 g|13.5 g|13.9 mg|65 mcg|331|399 mg|7.8 mg|481 mg|56.6 g|0 mcg|1.9 g|15 mg|4.3 mg|24.4 g|0 mcg|0.20 mg|5.9 mg|1.6 g|1.03 mg|0.06 mg|0 mg
